language,location,latitude,longitude,Degree of endangerment
Cashinahua (Peru),Peru,-9.212533,-74.4221191,Definitely endangered
CavineÃ±a,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Definitely endangered
Cayuga (Canada),Canada,62.8329086,-95.9133224,Critically endangered
Cayuvava,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Critically endangered
Central Alaskan Yupik (2),United States of America,39.4432564,-98.9573364,Vulnerable
Central Alaskan Yupik (Nunivak Island),United States of America,39.4432564,-98.9573364,Vulnerable
Central Asian Arabic,"Uzbekistan, Tajikistan, Afghanistan",38.8797646,70.8990631,Definitely endangered
Central Cagayan Agta,Philippines,11.1126661,122.5094757,Vulnerable
Central Cuicatec,Mexico,23.9090939,-102.6334,Vulnerable
Central NÃ¡huatl,Mexico,23.9090939,-102.6334,Vulnerable
Central Ojibwe,Canada,62.8329086,-95.9133224,Definitely endangered
Central OtomÃ­,Mexico,23.9090939,-102.6334,Definitely endangered
Central Pame,Mexico,23.9090939,-102.6334,Vulnerable
Central Pomo,United States of America,39.4432564,-98.9573364,Critically endangered
Central Popoloc,Mexico,23.9090939,-102.6334,Severely endangered
Central Selkup,Russian Federation,63.1251869,103.7539825,Critically endangered
Central Siberian Yupik (Chukotka),Russian Federation,63.1251869,103.7539825,Severely endangered
Central Siberian Yupik (St. Lawrence Island),United States of America,39.4432564,-98.9573364,Definitely endangered
Central Sierra Miwok,United States of America,39.4432564,-98.9573364,Critically endangered
Central Tlapanec,Mexico,23.9090939,-102.6334,Vulnerable
Central Zoque,Mexico,23.9090939,-102.6334,Definitely endangered
Ch'orti' (Guatemala),Guatemala,15.6705656,-90.3486557,Definitely endangered
Ch'orti' (Honduras),Honduras,14.9750328,-86.2647705,Critically endangered
Cha'palaa,Ecuador,-1.4215291,-78.8710403,Definitely endangered
ChÃ¡cobo,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Definitely endangered
Chali,Bhutan,27.4168797,90.434761,Definitely endangered
Chamacoco,"Brazil, Paraguay",-14.5271101,-56.5642586,Critically endangered
Chamalal,Russian Federation,63.1251869,103.7539825,Definitely endangered
Chambeali,India,23.4060116,79.4580917,Definitely endangered
Chamicuro,Peru,-9.212533,-74.4221191,Critically endangered
Chamling,Nepal,28.2591381,83.9441605,Definitely endangered
Chamorro,Guam (U.S.A.),36.9067192,-89.8290329,Vulnerable
Champenois,"Belgium, France",50.52262,5.24542,Severely endangered
ChanÃ¡,Argentina,-37.0719643,-64.8545074,Critically endangered
Chang,India,23.4060116,79.4580917,Vulnerable
Chantyal,Nepal,28.2591381,83.9441605,Definitely endangered
Chara,Ethiopia,8.6267033,39.6375542,Vulnerable
Chatino of the western lowlands,Mexico,23.9090939,-102.6334,Definitely endangered
Chatino of Zacatepec,Mexico,23.9090939,-102.6334,Definitely endangered
Chatong,Lao People's Democratic Republic,18.6507492,104.1529388,Definitely endangered
Chawte,Myanmar,20.330143,96.5218201,Definitely endangered
Chayahuita,Peru,-9.212533,-74.4221191,Definitely endangered
Che Wong,Malaysia,2.549001,102.962616,Definitely endangered
Chechen,Russian Federation,63.1251869,103.7539825,Vulnerable
Chemehuevi,United States of America,39.4432564,-98.9573364,Critically endangered
Chepang,Nepal,28.2591381,83.9441605,Vulnerable
Chepya,Lao People's Democratic Republic,18.6507492,104.1529388,Definitely endangered
Cherokee (North Carolina),United States of America,39.4432564,-98.9573364,Severely endangered
Cherokee (Oklahoma),United States of America,39.4432564,-98.9573364,Definitely endangered
Chesu,China,36.5530853,103.9754333,Definitely endangered
Cheyenne (Montana),United States of America,39.4432564,-98.9573364,Definitely endangered
